sampler,n_train_before,n_train_after,ir_before,ir_after,n3_before,n3_after,f1_fisher_mean_before,f1_fisher_mean_after,f2_overlap_mean_before,f2_overlap_mean_after,status,group,dataset_id,dataset_name,dataset_type,ir_level,overlap_level,cluster_level
NoSampler,2400.0,2400.0,2.258,2.258,0.039,0.039,0.287,0.287,0.752,0.752,ok,baseline,1,linear__low_ir__low_overlap__low_clusters,linear,low_ir,low_overlap,low_clusters
distance_SMOTE,2400.0,2512.0,2.258,2.258,0.039,0.037,0.287,0.289,0.752,0.752,ok,smote_variants,1,linear__low_ir__low_overlap__low_clusters,linear,low_ir,low_overlap,low_clusters
cluster_SMOTE,2400.0,2512.0,2.258,2.258,0.039,0.037,0.287,0.29,0.752,0.752,ok,smote_variants,1,linear__low_ir__low_overlap__low_clusters,linear,low_ir,low_overlap,low_clusters
CBSO,2400.0,2512.0,2.258,2.258,0.039,0.036,0.287,0.276,0.752,0.752,ok,smote_variants,1,linear__low_ir__low_overlap__low_clusters,linear,low_ir,low_overlap,low_clusters
AHC,2400.0,2268.0,2.258,1.729,0.039,0.001,0.287,0.201,0.752,0.751,ok,smote_variants,1,linear__low_ir__low_overlap__low_clusters,linear,low_ir,low_overlap,low_clusters
DBSMOTE,2400.0,2512.0,2.258,2.258,0.039,0.037,0.287,0.286,0.752,0.752,ok,smote_variants,1,linear__low_ir__low_overlap__low_clusters,linear,low_ir,low_overlap,low_clusters
MWMOTE,2400.0,2512.0,2.258,2.258,0.039,0.037,0.287,0.287,0.752,0.752,ok,smote_variants,1,linear__low_ir__low_overlap__low_clusters,linear,low_ir,low_overlap,low_clusters
SMOTE,2400.0,3324.0,2.258,1.0,0.039,0.015,0.287,0.296,0.752,0.752,ok,imbalanced_learn,1,linear__low_ir__low_overlap__low_clusters,linear,low_ir,low_overlap,low_clusters
BorderlineSMOTE,2400.0,3324.0,2.258,1.0,0.039,0.02,0.287,0.275,0.752,0.752,ok,imbalanced_learn,1,linear__low_ir__low_overlap__low_clusters,linear,low_ir,low_overlap,low_clusters
SVMSMOTE,2400.0,3324.0,2.258,1.0,0.039,0.016,0.287,0.247,0.752,0.74,ok,imbalanced_learn,1,linear__low_ir__low_overlap__low_clusters,linear,low_ir,low_overlap,low_clusters
