sampler,model,balanced_accuracy,f1_macro,gmean_macro,auc_roc_ovr_macro,status,dataset_id,dataset_name,group,ir_level,overlap_level,cluster_level
NoSampler,LogisticRegression,0.949,0.952,0.968,0.993,ok,1,low_ir__low_overlap__low_clusters,baseline,low_ir,low_overlap,low_clusters
NoSampler,RandomForest,0.962,0.964,0.976,0.996,ok,1,low_ir__low_overlap__low_clusters,baseline,low_ir,low_overlap,low_clusters
distance_SMOTE,LogisticRegression,0.949,0.952,0.968,0.993,ok,1,low_ir__low_overlap__low_clusters,smote_variants,low_ir,low_overlap,low_clusters
distance_SMOTE,RandomForest,0.973,0.973,0.983,0.996,ok,1,low_ir__low_overlap__low_clusters,smote_variants,low_ir,low_overlap,low_clusters
cluster_SMOTE,LogisticRegression,0.949,0.952,0.968,0.993,ok,1,low_ir__low_overlap__low_clusters,smote_variants,low_ir,low_overlap,low_clusters
cluster_SMOTE,RandomForest,0.969,0.97,0.98,0.996,ok,1,low_ir__low_overlap__low_clusters,smote_variants,low_ir,low_overlap,low_clusters
CBSO,LogisticRegression,0.949,0.952,0.968,0.993,ok,1,low_ir__low_overlap__low_clusters,smote_variants,low_ir,low_overlap,low_clusters
CBSO,RandomForest,0.972,0.972,0.982,0.996,ok,1,low_ir__low_overlap__low_clusters,smote_variants,low_ir,low_overlap,low_clusters
AHC,LogisticRegression,0.499,0.41,0.657,,ok,1,low_ir__low_overlap__low_clusters,smote_variants,low_ir,low_overlap,low_clusters
AHC,RandomForest,0.497,0.403,0.656,,ok,1,low_ir__low_overlap__low_clusters,smote_variants,low_ir,low_overlap,low_clusters
DBSMOTE,LogisticRegression,0.949,0.952,0.968,0.993,ok,1,low_ir__low_overlap__low_clusters,smote_variants,low_ir,low_overlap,low_clusters
DBSMOTE,RandomForest,0.968,0.968,0.979,0.996,ok,1,low_ir__low_overlap__low_clusters,smote_variants,low_ir,low_overlap,low_clusters
MWMOTE,LogisticRegression,0.949,0.952,0.968,0.993,ok,1,low_ir__low_overlap__low_clusters,smote_variants,low_ir,low_overlap,low_clusters
MWMOTE,RandomForest,0.969,0.969,0.98,0.995,ok,1,low_ir__low_overlap__low_clusters,smote_variants,low_ir,low_overlap,low_clusters
SMOTE,LogisticRegression,0.959,0.952,0.973,0.993,ok,1,low_ir__low_overlap__low_clusters,imbalanced_learn,low_ir,low_overlap,low_clusters
SMOTE,RandomForest,0.962,0.959,0.975,0.996,ok,1,low_ir__low_overlap__low_clusters,imbalanced_learn,low_ir,low_overlap,low_clusters
BorderlineSMOTE,LogisticRegression,0.958,0.949,0.972,0.994,ok,1,low_ir__low_overlap__low_clusters,imbalanced_learn,low_ir,low_overlap,low_clusters
BorderlineSMOTE,RandomForest,0.963,0.956,0.975,0.996,ok,1,low_ir__low_overlap__low_clusters,imbalanced_learn,low_ir,low_overlap,low_clusters
SVMSMOTE,LogisticRegression,0.961,0.949,0.973,0.994,ok,1,low_ir__low_overlap__low_clusters,imbalanced_learn,low_ir,low_overlap,low_clusters
SVMSMOTE,RandomForest,0.966,0.959,0.977,0.996,ok,1,low_ir__low_overlap__low_clusters,imbalanced_learn,low_ir,low_overlap,low_clusters
